,name,number_in_team,team,headshot_src
49,"Bolden, Jonah",43,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628413.png
50,"Bonga, Isaac",17,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png
51,"Booker, Devin",1,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
52,"Boucher, Chris",25,Raptors,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
53,"Bradley, Avery",0,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png
54,"Bradley, Tony",13,Jazz,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png
55,"Brewer, Corey",33,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201147.png
56,"Bridges, Mikal",25,Suns,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png
57,"Bridges, Miles",0,Hornets,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png
58,"Briscoe, Isaiah",13,Magic,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628515.png
59,"Broekhoff, Ryan",45,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629151.png
60,"Brogdon, Malcolm",13,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
61,"Brooks, Dillon",24,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png
62,"Brown Jr., Troy",6,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628972.png
63,"Brown, Bruce",6,Pistons,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628971.png
64,"Brown, Jaylen",7,Celtics,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png
65,"Brown, Sterling",23,Bucks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628425.png
66,"Brunson, Jalen",13,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628973.png
67,"Bryant, Thomas",13,Wizards,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628418.png
68,"Bullock, Reggie",35,Lakers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203493.png
69,"Burke, Trey",23,Mavericks,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203504.png
70,"Burks, Alec",13,Kings,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202692.png
71,"Burton, Deonte",30,Thunder,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629126.png
72,"Butler, Jimmy",23,76ers,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202710.png
73,"Caboclo, Bruno",5,Grizzlies,http://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203998.png
