,year,round,pick,position,school,firstName,lastName
115,1991,1,8,SG,Temple,Macon,Mark
116,1991,1,9,SG/SF,UNLV,Stacey,Augmon
117,1991,1,10,PF/C,Arizona,Williams,Brian
118,1991,1,11,PG,Oregon,Brandon,Terrell
119,1991,1,12,PG,UNLV,Anthony,Greg
120,1991,1,13,PF,Clemson,Davis,Dale
121,1991,1,14,C,Nebraska,King,Rich
122,1991,1,15,PF,Seton Hall,Avent,Anthony
123,1991,1,16,PF,Old Dominion,Gatling,Chris
124,1991,1,17,C,Iowa State,Alexander,Victor
125,1991,1,18,SF,Southwestern Louisiana,Brooks,Kevin
126,1991,1,19,SG,Louisville,Smith,LaBradford
127,1991,1,20,PF,Phillips,Turner,John
128,1991,1,21,PG,Providence,Murdock,Eric
129,1991,1,22,PF,Syracuse,Ellis,LeRon
130,1991,1,23,C,Real Madrid,Roberts,Stanley
131,1991,1,24,SF,North Carolina,Fox,Rick
132,1991,1,25,PF,Colorado,Vandiver,Shaun
133,1991,1,26,PF,Kansas,Randall,Mark
134,1991,1,27,PF,North Carolina,Chilcutt,Pete
135,1991,2,28,G/F,Minnesota,Lynch,Kevin
136,1991,2,29,C/PF,UNLV,Ackles,George
137,1991,2,30,G/F,NC State,Monroe,Rodney
138,1991,2,31,PG,New Mexico State,Brown,Randy
139,1991,2,32,C,Creighton,Gallagher,Chad
140,1991,2,33,C,Temple,Hodge,Donald
141,1991,2,34,G,Slippery Rock,Brown,Myron
142,1991,2,35,G,Saint Francis (PA),Iuzzolino,Mike
143,1991,2,36,G,NC State,Corchiani,Chris
144,1991,2,37,PG,Memphis State,Perry,Elliot
145,1991,2,38,PF,Miami (FL),Wylie,Joe
146,1991,2,39,G/F,Purdue,Oliver,Jimmy
147,1991,2,40,PG,La Salle,Overton,Doug
148,1991,2,41,F/G,Iona,Green,Sean
149,1991,2,42,SF,James Madison,Hood,Steve
150,1991,2,43,G,Christopher Newport,Strothers,Lamont
151,1991,2,44,C,Houston,Teherán,Álvaro
152,1991,2,45,SG,Southern,Phills,Bobby
153,1991,2,46,F,Hapoel Holon,Dumas,Richard
154,1991,2,47,PF,Rutgers,Hughes,Keith
155,1991,2,48,C,Arizona State,Austin,Isaac
156,1991,2,49,G,Oral Roberts,Sutton,Greg
157,1991,2,50,SG,Texas,Wright,Joey
158,1991,2,51,C,KK Split,Tabak,Žan
159,1991,2,52,SF,Oral Roberts,Jones,Anthony
160,1991,2,53,SG,Milwaukee,McDade,Von
161,1991,2,54,PF,Eastern Michigan,Kennedy,Marcus
162,1992,1,1,C,LSU ,Shaquille,O'Neal
163,1992,1,2,C,Georgetown ,Alonzo,Mourning
164,1992,1,3,PF,Duke ,Christian,Laettner
165,1992,1,4,SG,Ohio State ,Jimmy,Jackson
166,1992,1,5,PF,Notre Dame ,LaPhonso,Ellis
167,1992,1,6,PF,NC State ,Tom,Gugliotta
168,1992,1,7,SF,Maryland ,Walt,Williams
169,1992,1,8,SG,Arkansas ,Todd,Day
170,1992,1,9,PF,Southern Miss ,Clarence,Weatherspoon
171,1992,1,10,PF,Stanford ,Adam,Keefe
172,1992,1,11,SF,Alabama ,Robert,Horry
173,1992,1,12,SG,USC ,Harold,Miner
174,1992,1,13,SG,Virginia ,Bryant,Stith
175,1992,1,14,SF,St. John's ,Malik,Sealy
176,1992,1,15,SG,Missouri ,Anthony,Peeler
177,1992,1,16,PG,La Salle ,Randy,Woods
178,1992,1,17,SG,Pepperdine ,Doug,Christie
179,1992,1,18,SF,UCLA ,Tracy,Murray
180,1992,1,19,PF,UCLA ,Don,MacLean
181,1992,1,20,SG,North Carolina ,Hubert,Davis
182,1992,1,21,SG,Georgia Tech ,Jon,Barry
183,1992,1,22,C,Arkansas ,Oliver,Miller
184,1992,1,23,PG,Arkansas ,Lee,Mayberry
185,1992,1,24,SG,Alabama ,Latrell,Sprewell
186,1992,1,25,C,UNLV ,Elmore,Spencer
187,1992,1,26,SF,Syracuse ,Dave,Johnson
188,1992,1,27,PF,Oklahoma State ,Byron,Houston
189,1992,2,28,PF,UTEP,Marlon,Maxey
190,1992,2,29,PF,Louisiana Tech,P.,J. Brown
191,1992,2,30,PF/C,Arizona,Sean,Rooks
192,1992,2,31,C,TCU,Reggie,Smith
193,1992,2,32,G,Oklahoma,Brent,Price
194,1992,2,33,G,Oklahoma State,Corey,Williams
195,1992,2,34,G,Connecticut,Chris,Smith
196,1992,2,35,G,Wisconsin–Green Bay,Tony,Bennett
197,1992,2,36,G,USC,Duane,Cooper
198,1992,2,37,F,Arkansas,Isaiah,Morris
199,1992,2,38,G,Notre Dame,Elmer,Bennett
200,1992,2,39,G,Georgia,Litterial,Green
