,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Round 1,Unnamed: 4_level_0,Totals,Shooting,Per Game,Advanced,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
36,35,35,ORL,Melvin Frazier,Tulane University,1,7,32,12,3,0,.429,.000,,4.6,1.7,0.4,0.0,0.0,-.047,-11.6,-0.1
37,36,36,NYK,Mitchell Robinson,,1,44,793,273,213,25,.688,,.534,18.0,6.2,4.8,0.6,3.3,.202,6.3,1.7
38,37,37,SAC,Gary Trent,Duke University,1,9,38,14,4,1,.263,.333,.250,4.2,1.6,0.4,0.1,-0.1,-.153,-13.5,-0.1
39,38,38,PHI,Khyri Thomas,Creighton University,1,18,158,50,15,5,.354,.345,.667,8.8,2.8,0.8,0.3,0.2,.053,-3.4,-0.1
40,39,39,PHI,Isaac Bonga,,1,8,31,8,6,6,.200,.000,.571,3.9,1.0,0.8,0.8,0.0,-.024,-3.4,0.0
41,40,40,BRK,Rodions Kurucs,,1,42,866,363,151,31,.462,.300,.877,20.6,8.6,3.6,0.7,1.0,.058,-2.9,-0.2
42,41,41,ORL,Jarred Vanderbilt,University of Kentucky,1,5,17,3,12,1,.200,,.250,3.4,0.6,2.4,0.2,0.0,-.002,-5.2,0.0
43,42,42,DET,Bruce Brown,University of Miami,1,51,1015,242,138,65,.388,.270,.696,19.9,4.7,2.7,1.3,0.8,.037,-2.6,-0.1
44,43,43,DEN,Justin Jackson,University of Maryland,,,,,,,,,,,,,,,,,
45,44,44,WAS,Issuf Sanon,,,,,,,,,,,,,,,,,,
46,45,45,BRK,Hamidou Diallo,University of Kentucky,1,45,515,190,94,17,.466,.174,.610,11.4,4.2,2.1,0.4,0.8,.078,-4.4,-0.3
47,46,46,HOU,De'Anthony Melton,University of Southern California,1,34,689,185,88,113,.372,.308,.833,20.3,5.4,2.6,3.3,-0.1,-.008,-2.6,-0.1
48,47,47,LAL,Sviatoslav Mykhailiuk,University of Kansas,1,40,429,130,35,35,.331,.322,.600,10.7,3.3,0.9,0.9,-0.1,-.013,-5.7,-0.4
49,48,48,MIN,Keita Bates-Diop,Ohio State University,1,8,61,17,14,2,.412,.125,.400,7.6,2.1,1.8,0.3,0.0,.029,-4.7,0.0
50,49,49,SAS,Chimezie Metu,University of Southern California,1,27,137,47,34,13,.315,.000,.765,5.1,1.7,1.3,0.5,-0.3,-.102,-8.9,-0.2
51,50,50,IND,Alize Johnson,Missouri State,1,11,32,6,8,0,.200,.500,.250,2.9,0.5,0.7,0.0,-0.1,-.094,-16.8,-0.1
52,51,51,NOP,Tony Carr,Pennsylvania State University,,,,,,,,,,,,,,,,,
53,52,52,UTA,Vince Edwards,Purdue University,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.023,-10.3,0.0
54,53,53,OKC,Devon Hall,University of Virginia,,,,,,,,,,,,,,,,,
55,54,54,DAL,Shake Milton,Southern Methodist University,1,13,126,54,20,13,.435,.400,.800,9.7,4.2,1.5,1.0,0.4,.140,0.3,0.1
56,55,55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,,,,
57,56,56,PHI,Ray Spalding,University of Louisville,1,1,1,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,.004,-5.7,0.0
58,57,57,OKC,Kevin Hervey,University of Texas at Arlington,,,,,,,,,,,,,,,,,
59,58,58,DEN,Thomas Welsh,"University of California, Los Angeles",1,9,33,14,4,4,.500,.429,.500,3.7,1.6,0.4,0.4,0.1,.136,-3.1,0.0
60,59,59,PHO,George King,University of Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-10.7,0.0
61,60,60,PHI,Kostas Antetokounmpo,University of Dayton,,,,,,,,,,,,,,,,,
